,documentid,recordtype_x,borough_x,block,lot,easement,partiallot,airrights,subterraneanrights,propertytype,streetnumber,streetname,unit,goodthroughdate_x,recordtype_y,crfn,borough_y,doctype,docdate,docamount,recorded/filed,modifieddate,reelyear,reelnbr,reelpage,%transferred,goodthroughdate_y
114,2006090501816001,L,4,528,50,N,E,N,N,SP,33-55,14TH STREET,3D,07/31/2015,A,2.00600053279e+12,1,RPTT&RET,09/05/2006,210000,09/21/2006,09/21/2006,0,0,0,100,07/31/2015
115,2003082801412001,L,4,528,50,N,E,N,N,SC,3364,21ST STREET,6C,07/31/2015,A,2.00400013806e+12,4,MTGE,08/19/2003,128100,03/08/2004,03/08/2004,0,0,0,0,07/31/2015
116,2011052300670001,L,4,528,50,N,E,N,N,SP,33-65,14TH STREET,8B,07/31/2015,A,2.01100019764e+12,1,RPTT&RET,05/26/2011,255000,06/03/2011,06/03/2011,0,0,0,100,07/31/2015
117,2014021800878001,L,4,528,50,N,E,N,N,SP,33-65,14TH ST,12B,07/31/2015,A,2.01400010142e+12,1,RPTT&RET,02/12/2014,325000,03/24/2014,03/24/2014,0,0,0,100,07/31/2015
118,FT_4430002601543,L,4,528,50,N,E,N,N,PA,33-60,14 STREET,,07/31/2015,A,,4,ASST,,0,10/04/1989,10/04/1989,1989,2882,1464,0,07/31/2015
119,FT_4480004196848,L,4,528,50,N,E,N,N,PA,,,,07/31/2015,A,,4,AGMT,,0,03/22/1994,03/22/1994,1994,3824,176,0,07/31/2015
120,2013080801074001,L,4,528,50,N,E,N,N,SP,33-47,14TH STREET,14A,07/31/2015,A,2.01300033908e+12,1,RPTT&RET,07/25/2013,380000,08/26/2013,08/26/2013,0,0,0,100,07/31/2015
121,2007040901428001,L,4,528,50,N,E,N,N,SP,33-43,14TH STREET,7C,07/31/2015,A,2.00700018545e+12,1,RPTT&RET,03/26/2007,317000,04/11/2007,04/11/2007,0,0,0,100,07/31/2015
122,2012112700632001,L,4,528,50,N,E,N,N,SP,33-64,21 STREET,14A,07/31/2015,A,2.01200047458e+12,4,RPTT&RET,11/28/2012,325000,12/04/2012,12/04/2012,0,0,0,100,07/31/2015
123,FT_4150006661315,L,4,528,50,N,E,N,N,PA,,,,07/31/2015,A,,4,PAT,,0,06/14/1999,07/01/1999,1999,5273,550,0,07/31/2015
124,2008052300675001,L,4,528,50,N,E,N,N,D1,3355,14TH STREET,,07/31/2015,A,2.00800022237e+12,4,ASST,04/30/2008,0,06/03/2008,06/03/2008,0,0,0,0,07/31/2015
125,FT_4540001921054,L,4,528,50,N,E,N,N,PA,33-60,14 STREET,,07/31/2015,A,,4,MTGE,,421965,01/03/1983,01/03/1983,1983,1490,1324,0,07/31/2015
126,2009122200567003,L,4,528,50,N,E,N,N,SP,33-43,14 STREET,4-A,07/31/2015,A,2.01000002042e+12,4,PAT,11/24/2009,0,01/20/2010,01/20/2010,0,0,0,0,07/31/2015
127,2012121201232001,L,4,528,50,N,E,N,N,SP,33-64,21ST STREET,5B,07/31/2015,A,2.01200049202e+12,1,RPTT&RET,11/29/2012,300000,12/17/2012,12/17/2012,0,0,0,100,07/31/2015
128,2005112300014001,L,4,528,50,N,E,N,N,SP,33-64,21ST STREET,5B,07/31/2015,A,2.00500067615e+12,1,RPTT&RET,11/23/2005,250000,12/07/2005,12/07/2005,0,0,0,100,07/31/2015
129,2008031700408001,L,4,528,50,N,E,N,N,SP,33-65,14TH STREET,14C,07/31/2015,A,2.00800013454e+12,1,RPTT&RET,03/13/2008,310000,04/03/2008,04/03/2008,0,0,0,100,07/31/2015
130,2005122000407001,L,4,528,50,N,E,N,N,SP,33-68,21ST STREET,11D,07/31/2015,A,2.00600002979e+12,1,RPTT&RET,12/05/2005,250000,01/18/2006,01/18/2006,0,0,0,100,07/31/2015
131,2009072301340001,L,4,528,50,N,E,N,N,SP,3368,21 ST,2A,07/31/2015,A,2.00900027751e+12,1,RPTT&RET,07/27/2009,290000,08/28/2009,08/28/2009,0,0,0,100,07/31/2015
132,2008070100230001,L,4,528,50,N,E,N,N,SP,33-60,21ST   STREET,3B,07/31/2015,A,2.00800026524e+12,4,RPTT&RET,06/27/2008,325000,07/03/2008,07/03/2008,0,0,0,100,07/31/2015
133,2013100401067001,L,4,528,50,N,E,N,N,SP,33-43,14TH STREET,14A,07/31/2015,A,2.01300042261e+12,2,RPTT&RET,10/07/2013,305000,10/11/2013,10/11/2013,0,0,0,100,07/31/2015
134,2014082201347001,L,4,528,50,N,E,N,N,SP,33-60,21ST STREET,14D,07/31/2015,A,2.01400031248e+12,2,RPTT&RET,08/25/2014,435500,09/22/2014,09/22/2014,0,0,0,100,07/31/2015
135,2007031901170001,L,4,528,50,N,P,N,N,MP,33-60,21ST STREET,12D,07/31/2015,A,2.00700017002e+12,1,RPTT&RET,01/22/2007,370000,04/03/2007,04/03/2007,0,0,0,100,07/31/2015
